Horizon,FeatureSet,Split,FeatureCount,FeaturesUsed,RMSE,MAE,R2,WeightedRMSE,DeltaRMSE_vs_Base,RelativeRMSEChange_vs_Base_pct,DeltaRMSE_vs_Persistence,EvidenceLabel
5,Full model,Test,23,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; family_consumption_lag1; family_consumption_lag2; family_consumption_lag3; consumption_community; consumption_hospital; reserve_pct_lag1; population; age65_pct; urban_pct; gdp_per_capita; health_expenditure_pct_gdp; antibiotic; ast_standard; ast_version; antibiotic_family,2.6800927916813597,1.8613614635681253,0.9808068994706047,2.083023230393444,-0.36397332359648615,-11.956814005114493,-0.7915504918252796,Improved
5,Base + consumption,Test,17,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; family_consumption_lag1; family_consumption_lag2; family_consumption_lag3; consumption_community; consumption_hospital; antibiotic; ast_standard; ast_version; antibiotic_family,2.7373188812084805,1.9998802995343856,0.9799785160737221,2.1953932232817643,-0.3067472340693653,-10.076891317499097,-0.7343244022981588,Improved
5,Base + demographics,Test,16,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; population; age65_pct; urban_pct; gdp_per_capita; health_expenditure_pct_gdp; antibiotic; ast_standard; ast_version,2.769444608621497,1.9060583062470968,0.9795058059851607,2.022598258289362,-0.27462150665634866,-9.021535546749538,-0.7021986748851421,Improved
5,Base + prescribing behaviour,Test,12,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; reserve_pct_lag1; antibiotic; ast_standard; ast_version,2.9354547085463727,2.0372351348228035,0.9769751799494261,2.1988725448525774,-0.10861140673147318,-3.567971345509351,-0.5361885749602666,Improved
5,Base resistance history,Test,11,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; antibiotic; ast_standard; ast_version,3.044066115277846,2.0935351035010275,0.9752398290786045,2.3045554009544906,0.0,0.0,-0.42757716822879344,Reference
5,Persistence,Test,1,resistance_pct,3.4716432835066393,2.4178824268869166,0.9677955663893331,2.9887962560856653,0.42757716822879344,14.046251035180507,0.0,Reference
5,Full model,Validation,23,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; family_consumption_lag1; family_consumption_lag2; family_consumption_lag3; consumption_community; consumption_hospital; reserve_pct_lag1; population; age65_pct; urban_pct; gdp_per_capita; health_expenditure_pct_gdp; antibiotic; ast_standard; ast_version; antibiotic_family,2.4246065424529903,1.6215422031693019,0.9838469669077063,2.252265788148547,-0.5507005885601144,-18.509033330370787,-1.7365793541486982,Improved
5,Base + consumption,Validation,17,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; family_consumption_lag1; family_consumption_lag2; family_consumption_lag3; consumption_community; consumption_hospital; antibiotic; ast_standard; ast_version; antibiotic_family,2.7073382332516305,1.7907792634149315,0.9798601342958454,2.3758699547051156,-0.26796889776147426,-9.006428108490088,-1.453847663350058,Improved
5,Base + demographics,Validation,16,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; population; age65_pct; urban_pct; gdp_per_capita; health_expenditure_pct_gdp; antibiotic; ast_standard; ast_version,2.8350744597652997,1.879836120115837,0.9779148437307935,2.5763177921228917,-0.14023267124780503,-4.71321665538627,-1.3261114368363889,Improved
5,Base + prescribing behaviour,Validation,12,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; reserve_pct_lag1; antibiotic; ast_standard; ast_version,2.871803569827889,1.947937946363434,0.9773388993655857,2.6432859385846794,-0.10350356118521553,-3.478752163309343,-1.2893823267737994,Improved
5,Base resistance history,Validation,11,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; antibiotic; ast_standard; ast_version,2.9753071310131047,1.986723529559605,0.9756759916583977,2.707533169818647,0.0,0.0,-1.1858787655885838,Reference
5,Persistence,Validation,1,resistance_pct,4.161185896601689,2.7923938416702137,0.9524220447900835,3.9402568891444316,1.1858787655885838,39.857356345756045,0.0,Reference
