Horizon,Feature,Group,Split,FeaturesUsed,RMSE,MAE,R2,WeightedRMSE,DeltaRMSE_vs_Base,RelativeRMSEChange_vs_Base_pct,EvidenceLabel
5,population,Demographics,Test,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; population; antibiotic; ast_standard; ast_version,2.756187033761467,1.8844061928110742,0.9797015513535156,2.1368723010655017,-0.28787908151637875,-9.457057455866154,Improved
5,urban_pct,Demographics,Test,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; urban_pct; antibiotic; ast_standard; ast_version,2.791738538103225,1.910576439495533,0.9791745228727462,2.126906549114084,-0.25232757717462073,-8.289162180420961,Improved
5,consumption_community,Consumption,Test,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; consumption_community; antibiotic; ast_standard; ast_version; antibiotic_family,2.794780664929533,1.9319434572500316,0.9791291115566698,2.1678224633296836,-0.24928545034831284,-8.189225887610506,Improved
5,gdp_per_capita,Demographics,Test,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; gdp_per_capita; antibiotic; ast_standard; ast_version,2.9046352597243548,1.99996333294136,0.9774561188229016,2.259261853748536,-0.1394308555534911,-4.580414822585567,Improved
5,reserve_pct_lag1,Prescribing behaviour,Test,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; reserve_pct_lag1; antibiotic; ast_standard; ast_version,2.9354547085463727,2.0372351348228035,0.9769751799494261,2.1988725448525774,-0.10861140673147318,-3.567971345509351,Improved
5,family_consumption_lag3,Consumption,Test,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; family_consumption_lag3; antibiotic; ast_standard; ast_version; antibiotic_family,2.975974374306791,2.0440286764423563,0.9763351448152334,2.2349662857848167,-0.06809174097105508,-2.236868004584718,Improved
5,family_consumption_lag2,Consumption,Test,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; family_consumption_lag2; antibiotic; ast_standard; ast_version; antibiotic_family,2.982726058479762,2.0574097202640185,0.976227644646021,2.305557877938456,-0.061340056798083964,-2.015069793991159,Improved
5,age65_pct,Demographics,Test,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; age65_pct; antibiotic; ast_standard; ast_version,2.9860215934289105,2.0795182067830744,0.9761750847355887,2.2616446954096685,-0.05804452184893538,-1.906808842213251,Improved
5,family_consumption_lag1,Consumption,Test,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; family_consumption_lag1; antibiotic; ast_standard; ast_version; antibiotic_family,3.004751856777219,2.0709592219607913,0.9758752566880017,2.314981501208776,-0.03931425850062675,-1.2915047509419275,Improved
5,Base resistance history,Reference,Test,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; antibiotic; ast_standard; ast_version,3.044066115277846,2.0935351035010275,0.9752398290786045,2.3045554009544906,0.0,0.0,Reference
5,consumption_hospital,Consumption,Test,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; consumption_hospital; antibiotic; ast_standard; ast_version; antibiotic_family,3.0746139778249195,2.1148891701741714,0.9747403882392708,2.364065100877834,0.030547862547073645,1.0035216513122744,Worsened
5,health_expenditure_pct_gdp,Demographics,Test,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; health_expenditure_pct_gdp; antibiotic; ast_standard; ast_version,3.0918997615837918,2.167167276786261,0.9744555657642883,2.2921931770052577,0.04783364630594589,1.5713734358749265,Worsened
5,family_consumption_lag3,Consumption,Validation,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; family_consumption_lag3; antibiotic; ast_standard; ast_version; antibiotic_family,2.7827310140507655,1.874389527746338,0.9787228236041627,2.3661163212923584,-0.19257611696233923,-6.472478587337175,Improved
5,family_consumption_lag2,Consumption,Validation,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; family_consumption_lag2; antibiotic; ast_standard; ast_version; antibiotic_family,2.8405023032500907,1.9190130396631082,0.9778301972600432,2.6033948522382167,-0.13480482776301406,-4.530786968440211,Improved
5,population,Demographics,Validation,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; population; antibiotic; ast_standard; ast_version,2.856673580396932,1.8699390867443766,0.9775770486863319,2.6428635159941587,-0.11863355061617264,-3.9872707385263255,Improved
5,reserve_pct_lag1,Prescribing behaviour,Validation,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; reserve_pct_lag1; antibiotic; ast_standard; ast_version,2.871803569827889,1.947937946363434,0.9773388993655857,2.6432859385846794,-0.10350356118521553,-3.478752163309343,Improved
5,consumption_community,Consumption,Validation,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; consumption_community; antibiotic; ast_standard; ast_version; antibiotic_family,2.9210880750747483,1.8842564010808698,0.976554427552198,2.6756184801582017,-0.05421905593835641,-1.8223011457608609,Improved
5,family_consumption_lag1,Consumption,Validation,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; family_consumption_lag1; antibiotic; ast_standard; ast_version; antibiotic_family,2.940669469219186,1.9518447889979162,0.9762390411262191,2.6542401169825554,-0.034637661793918806,-1.1641709668515645,Improved
5,gdp_per_capita,Demographics,Validation,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; gdp_per_capita; antibiotic; ast_standard; ast_version,2.9691301922670115,1.954763985114303,0.9757768833919684,2.7346203791903245,-0.006176938746093263,-0.20760676038140605,No material change
5,Base resistance history,Reference,Validation,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; antibiotic; ast_standard; ast_version,2.9753071310131047,1.986723529559605,0.9756759916583977,2.707533169818647,0.0,0.0,Reference
5,age65_pct,Demographics,Validation,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; age65_pct; antibiotic; ast_standard; ast_version,3.0177186822918056,2.028333627039021,0.9749775954972386,2.641505911825727,0.04241155127870089,1.425451202553989,Worsened
5,health_expenditure_pct_gdp,Demographics,Validation,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; health_expenditure_pct_gdp; antibiotic; ast_standard; ast_version,3.0291273546478044,2.0565545415328663,0.9747880403612477,2.669648316032563,0.05382022363469963,1.8088964017766331,Worsened
5,consumption_hospital,Consumption,Validation,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; consumption_hospital; antibiotic; ast_standard; ast_version; antibiotic_family,3.0395967251204343,2.068144487978796,0.9746134623676553,2.741972134476073,0.0642895941073296,2.1607716876421668,Worsened
5,urban_pct,Demographics,Validation,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; urban_pct; antibiotic; ast_standard; ast_version,3.102547417868486,2.0073226932851664,0.9735510525990291,2.7518195446384004,0.12724028685538125,4.276542933302331,Worsened
